S_T,E_T,L1,L2,L3,L4
0,20,4,6,7,5
20,40,7,6,5,8
40,60,5,0,4,2
60,80,4,8,5,8
80,100,6,2,2,3
100,120,1,3,2,0
120,140,6,0,2,3
140,160,6,5,1,6
160,180,4,8,8,6
180,200,2,5,5,1
200,220,8,6,7,6
220,240,3,2,3,1
240,260,9,0,4,4
260,280,6,1,8,4
280,300,5,4,6,3
300,320,8,8,5,1
320,340,3,9,5,5
340,360,1,3,4,4
360,380,7,8,7,0
380,400,0,4,0,0
400,420,0,8,4,3
420,440,3,6,5,0
440,460,8,3,8,3
460,480,4,8,0,6
480,500,4,3,5,6
500,520,6,0,6,4
520,540,4,9,9,7
540,560,9,8,8,7
560,580,2,0,2,8
580,600,2,2,3,5
600,620,2,1,9,0
620,640,9,7,9,0
640,660,3,7,6,3
660,680,3,9,1,3
680,700,4,9,8,3
700,720,4,2,9,7
720,740,1,9,9,5
740,760,7,8,8,2
760,780,4,2,7,4
780,800,8,5,7,9
800,820,8,5,1,2
820,840,0,2,7,4
840,860,5,4,4,7
860,880,6,9,2,6
880,900,6,6,3,6
900,920,2,2,5,4
920,940,1,8,6,5
940,960,0,8,0,7
960,980,1,1,4,2
980,1000,0,7,2,4
