S_T,E_T,L1,L2,L3,L4
0,20,0,4,8,4
20,40,5,3,0,7
40,60,3,4,6,9
60,80,3,3,2,1
80,100,8,5,6,0
100,120,0,2,8,5
120,140,1,0,2,1
140,160,1,6,3,2
160,180,6,2,5,3
180,200,1,8,8,3
200,220,0,0,2,1
220,240,6,8,0,7
240,260,0,4,1,6
260,280,4,5,2,0
280,300,9,8,8,6
300,320,5,0,7,6
320,340,0,2,0,1
340,360,2,0,4,5
360,380,5,8,0,5
380,400,8,6,1,4
400,420,3,5,2,2
420,440,2,1,6,7
440,460,4,9,7,0
460,480,5,8,9,7
480,500,6,7,3,7
500,520,5,2,2,1
520,540,0,3,8,1
540,560,5,7,7,2
560,580,6,9,1,1
580,600,5,6,6,9
600,620,3,3,4,4
620,640,4,2,0,6
640,660,4,1,7,5
660,680,8,1,8,3
680,700,6,1,6,3
700,720,7,9,1,2
720,740,9,9,4,0
740,760,8,6,5,7
760,780,2,2,7,8
780,800,0,9,1,4
800,820,7,7,8,4
820,840,8,2,9,7
840,860,0,8,5,8
860,880,8,6,5,8
880,900,3,1,7,3
900,920,8,8,2,9
920,940,5,3,2,0
940,960,8,4,5,0
960,980,6,7,6,1
980,1000,2,6,2,0
