S_T,E_T,L1,L2,L3,L4
0,20,5,4,5,5
20,40,8,6,4,7
40,60,7,5,0,0
60,80,8,7,3,2
80,100,8,1,7,0
100,120,3,5,9,9
120,140,7,5,0,0
140,160,3,2,8,4
160,180,1,0,2,2
180,200,7,9,5,1
200,220,9,7,1,7
220,240,1,4,9,6
240,260,1,2,6,8
260,280,0,7,6,8
280,300,5,0,4,6
300,320,7,0,5,5
320,340,1,2,1,1
340,360,1,2,9,5
360,380,0,5,4,7
380,400,5,7,8,7
400,420,7,0,9,8
420,440,2,0,2,1
440,460,7,4,3,6
460,480,2,0,3,3
480,500,0,4,0,4
500,520,8,0,1,9
520,540,5,2,2,1
540,560,7,1,5,5
560,580,0,2,5,1
580,600,3,1,9,0
600,620,2,2,7,1
620,640,2,4,1,0
640,660,8,8,8,2
660,680,6,8,7,3
680,700,7,1,2,5
700,720,3,5,4,0
720,740,0,5,3,2
740,760,7,9,5,1
760,780,1,8,5,4
780,800,8,7,4,3
800,820,5,7,5,7
820,840,5,4,8,9
840,860,3,6,0,4
860,880,6,5,1,4
880,900,9,9,0,4
900,920,1,0,5,3
920,940,7,4,9,0
940,960,2,5,5,7
960,980,1,3,1,9
980,1000,2,0,6,8
